q1_left,q2_left,q3_left,q4_left,q5_left,q6_left,q7_left,q1_right,q2_right,q3_right,q4_right,q5_right,q6_right,q7_right
-0.659252,0.016518,2.810678,-1.652819,0.048307,0.906214,0.755311,-0.413200,-0.229818,0.161409,-1.288747,0.189155,1.581168,0.784347
-0.659252,0.016518,2.810678,-1.652819,0.048307,0.906214,0.755311,-0.413200,-0.229818,0.191409,-1.288747,0.189155,1.581168,0.784347
-0.659252,0.016518,2.810678,-1.652819,0.048307,0.906214,0.755311,-0.413200,-0.229818,0.221409,-1.288747,0.189155,1.581168,0.784347
-0.659252,0.016518,2.810678,-1.652819,0.048307,0.906214,0.755311,-0.413200,-0.229818,0.251409,-1.288747,0.189155,1.581168,0.784347
-0.659252,0.016518,2.810678,-1.652819,0.048307,0.906214,0.755311,-0.413200,-0.229818,0.281409,-1.288747,0.189155,1.581168,0.784347
-0.659252,0.016518,2.810678,-1.652819,0.048307,0.906214,0.755311,-0.413200,-0.229818,0.311409,-1.288747,0.189155,1.581168,0.784347
-0.659252,0.016518,2.810678,-1.652819,0.048307,0.906214,0.755311,-0.413200,-0.229818,0.341409,-1.288747,0.189155,1.581168,0.784347
-0.659252,0.016518,2.810678,-1.652819,0.048307,0.906214,0.755311,-0.413200,-0.229818,0.371409,-1.288747,0.189155,1.581168,0.784347
-0.659252,0.016518,2.810678,-1.652819,0.048307,0.906214,0.755311,-0.413200,-0.229818,0.401409,-1.288747,0.189155,1.581168,0.784347
-0.659252,0.016518,2.810678,-1.652819,0.048307,0.906214,0.755311,-0.413200,-0.229818,0.431409,-1.288747,0.189155,1.581168,0.784347
-0.659252,0.016518,2.810678,-1.652819,0.048307,0.906214,0.755311,-0.413200,-0.229818,0.461409,-1.288747,0.189155,1.581168,0.784347
