q1_left,q2_left,q3_left,q4_left,q5_left,q6_left,q7_left,q1_right,q2_right,q3_right,q4_right,q5_right,q6_right,q7_right
0.0,-0.784,0.0,-2.356,0.0,1.571,0.785,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
0.0,-0.783,0.0,-2.355,0.0,1.571,0.785,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
0.0,-0.782,0.0,-2.354,-0.0,1.571,0.785,0.0,-0.785,-0.0,-2.356,0.0,1.571,0.785
0.0,-0.782,0.0,-2.355,-0.0,1.572,0.785,-0.0,-0.785,-0.0,-2.356,-0.0,1.571,0.785
0.0,-0.781,0.0,-2.353,-0.0,1.572,0.785,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
0.0,-0.78,0.0,-2.353,-0.0,1.572,0.785,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
0.0,-0.781,0.0,-2.353,-0.0,1.572,0.785,-0.0,-0.785,0.0,-2.356,-0.0,1.571,0.785
0.0,-0.78,0.0,-2.352,-0.0,1.572,0.785,-0.0,-0.785,-0.0,-2.356,-0.0,1.571,0.785
0.0,-0.771,0.0,-2.345,-0.0,1.574,0.785,0.0,-0.785,-0.0,-2.356,0.0,1.571,0.785
0.0,-0.757,0.0,-2.339,0.0,1.577,0.785,-0.0,-0.785,-0.0,-2.356,-0.0,1.571,0.785
0.0,-0.74,0.0,-2.322,-0.0,1.577,0.785,-0.0,-0.785,-0.0,-2.356,-0.0,1.571,0.785
0.0,-0.729,0.0,-2.304,-0.0,1.579,0.785,-0.0,-0.785,-0.0,-2.356,-0.0,1.571,0.785
0.0,-0.712,0.0,-2.287,-0.0,1.585,0.785,0.0,-0.785,-0.0,-2.356,-0.0,1.571,0.785
0.0,-0.691,0.0,-2.265,-0.0,1.594,0.785,-0.0,-0.785,-0.0,-2.356,-0.0,1.571,0.785
0.0,-0.669,0.0,-2.242,-0.0,1.595,0.785,-0.0,-0.785,-0.0,-2.356,-0.0,1.571,0.785
0.0,-0.641,0.0,-2.211,-0.0,1.595,0.785,-0.0,-0.785,0.0,-2.356,-0.0,1.571,0.785
0.0,-0.612,0.0,-2.179,-0.0,1.598,0.785,0.0,-0.785,-0.0,-2.356,-0.0,1.571,0.785
0.0,-0.592,0.0,-2.155,-0.0,1.59,0.785,-0.0,-0.785,-0.0,-2.356,-0.0,1.571,0.785
0.0,-0.588,0.0,-2.151,-0.0,1.573,0.785,-0.0,-0.785,-0.0,-2.356,-0.0,1.571,0.785
0.0,-0.567,0.0,-2.13,-0.0,1.573,0.785,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
0.0,-0.553,0.0,-2.12,-0.0,1.574,0.785,-0.0,-0.785,-0.0,-2.356,-0.0,1.571,0.785
0.0,-0.545,0.0,-2.116,0.0,1.574,0.785,0.0,-0.785,-0.0,-2.356,0.0,1.571,0.785
0.0,-0.538,0.0,-2.115,-0.0,1.574,0.785,-0.0,-0.785,-0.0,-2.356,-0.0,1.571,0.785
0.0,-0.532,0.0,-2.116,-0.0,1.574,0.785,-0.0,-0.785,0.0,-2.356,-0.0,1.571,0.785
-0.0,-0.526,0.0,-2.115,-0.0,1.574,0.785,-0.0,-0.785,-0.0,-2.356,-0.0,1.571,0.785
-0.0,-0.517,0.0,-2.113,-0.0,1.574,0.785,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.496,0.0,-2.1,-0.0,1.575,0.785,0.0,-0.785,-0.0,-2.356,0.0,1.571,0.785
0.0,-0.476,0.0,-2.079,-0.0,1.575,0.785,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
0.0,-0.464,0.0,-2.065,-0.0,1.575,0.785,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
0.0,-0.444,0.0,-2.046,-0.0,1.578,0.785,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
0.0,-0.424,0.0,-2.025,-0.0,1.578,0.785,0.0,-0.785,-0.0,-2.356,0.0,1.571,0.785
0.0,-0.397,0.0,-1.995,-0.0,1.578,0.785,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
0.0,-0.369,0.0,-1.964,-0.0,1.578,0.785,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
0.0,-0.34,0.0,-1.931,-0.0,1.578,0.785,0.0,-0.785,-0.0,-2.356,0.0,1.571,0.785
0.0,-0.31,0.0,-1.895,-0.0,1.578,0.785,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
0.0,-0.278,0.0,-1.859,-0.0,1.579,0.785,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
0.0,-0.246,0.0,-1.822,-0.0,1.579,0.785,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
0.0,-0.214,0.0,-1.784,-0.0,1.579,0.785,0.0,-0.785,-0.0,-2.356,0.0,1.571,0.785
0.0,-0.182,0.0,-1.746,-0.0,1.579,0.785,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
0.0,-0.149,0.0,-1.706,-0.0,1.579,0.785,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
0.0,-0.115,0.0,-1.666,-0.0,1.579,0.785,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
0.0,-0.082,0.0,-1.626,-0.0,1.579,0.785,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
0.0,-0.048,0.0,-1.587,-0.0,1.579,0.785,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
0.0,-0.016,0.0,-1.548,-0.0,1.579,0.785,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
0.0,0.017,0.0,-1.51,-0.0,1.579,0.785,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
0.0,0.051,0.0,-1.468,-0.0,1.579,0.785,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.002,0.084,-0.003,-1.429,-0.0,1.579,0.785,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.016,0.117,-0.019,-1.39,-0.0,1.578,0.784,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.031,0.152,-0.036,-1.348,-0.0,1.578,0.784,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.04,0.185,-0.046,-1.309,0.0,1.578,0.781,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.041,0.217,-0.054,-1.271,0.0,1.577,0.78,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.044,0.251,-0.064,-1.23,0.0,1.577,0.778,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.048,0.286,-0.075,-1.188,0.0,1.577,0.775,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.054,0.32,-0.089,-1.147,0.0,1.576,0.773,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.06,0.354,-0.104,-1.106,0.0,1.576,0.772,0.0,-0.785,-0.0,-2.356,0.0,1.571,0.785
