q1_left,q2_left,q3_left,q4_left,q5_left,q6_left,q7_left,q1_right,q2_right,q3_right,q4_right,q5_right,q6_right,q7_right
-0.001,-0.785,0.0,-2.356,0.0,1.571,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.001,-0.701,-0.0,-2.057,0.0,1.415,0.785,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.001,-0.709,0.0,-2.05,-0.0,1.39,0.785,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.001,-0.692,0.031,-2.056,0.004,1.388,0.786,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.034,-0.696,0.128,-2.056,0.061,1.387,0.787,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.027,-0.695,-0.145,-2.056,-0.063,1.386,0.785,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
0.234,-0.669,-0.426,-1.997,-0.24,1.382,0.782,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
0.378,-0.734,-0.476,-1.986,-0.296,1.35,0.78,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
0.391,-0.734,-0.487,-1.985,-0.307,1.345,0.779,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
0.394,-0.734,-0.49,-1.984,-0.312,1.343,0.777,-0.001,-0.785,-0.079,-2.355,-0.024,1.571,0.784
0.396,-0.734,-0.49,-1.983,-0.314,1.342,0.776,0.012,-0.785,0.095,-2.355,0.039,1.571,0.785
0.397,-0.734,-0.491,-1.983,-0.315,1.341,0.775,-0.101,-0.777,0.248,-2.344,0.139,1.57,0.787
0.398,-0.734,-0.492,-1.982,-0.317,1.34,0.774,-0.139,-0.78,0.268,-2.343,0.164,1.57,0.788
0.4,-0.734,-0.492,-1.982,-0.319,1.339,0.773,-0.141,-0.782,0.284,-2.337,0.177,1.57,0.789
0.401,-0.735,-0.493,-1.981,-0.32,1.338,0.772,-0.153,-0.782,0.31,-2.331,0.194,1.569,0.79
0.402,-0.735,-0.494,-1.981,-0.322,1.337,0.771,-0.172,-0.782,0.339,-2.325,0.214,1.569,0.791
0.404,-0.735,-0.494,-1.981,-0.323,1.336,0.77,-0.189,-0.782,0.359,-2.32,0.229,1.568,0.793
0.405,-0.735,-0.495,-1.98,-0.324,1.336,0.769,-0.202,-0.783,0.382,-2.314,0.244,1.567,0.794
0.406,-0.735,-0.495,-1.98,-0.325,1.335,0.768,-0.218,-0.785,0.403,-2.308,0.259,1.567,0.795
0.407,-0.735,-0.496,-1.98,-0.326,1.334,0.768,-0.233,-0.787,0.425,-2.301,0.275,1.566,0.796
0.408,-0.735,-0.496,-1.98,-0.327,1.334,0.767,-0.248,-0.788,0.445,-2.295,0.289,1.565,0.798
0.409,-0.735,-0.496,-1.98,-0.328,1.333,0.766,-0.263,-0.789,0.467,-2.289,0.304,1.564,0.8
0.411,-0.735,-0.497,-1.98,-0.33,1.333,0.765,-0.279,-0.791,0.489,-2.283,0.319,1.563,0.801
0.412,-0.735,-0.497,-1.979,-0.331,1.332,0.764,-0.294,-0.792,0.51,-2.276,0.334,1.562,0.803
0.413,-0.735,-0.498,-1.979,-0.332,1.331,0.764,-0.309,-0.793,0.532,-2.27,0.349,1.562,0.804
0.414,-0.735,-0.498,-1.979,-0.333,1.331,0.763,-0.325,-0.794,0.553,-2.264,0.365,1.561,0.805
0.416,-0.735,-0.499,-1.979,-0.335,1.33,0.762,-0.34,-0.796,0.575,-2.258,0.38,1.56,0.807
0.417,-0.735,-0.499,-1.979,-0.336,1.33,0.761,-0.355,-0.797,0.597,-2.252,0.395,1.559,0.808
0.418,-0.735,-0.499,-1.978,-0.337,1.329,0.76,-0.371,-0.798,0.618,-2.246,0.41,1.558,0.81
0.419,-0.735,-0.5,-1.978,-0.338,1.328,0.759,-0.386,-0.799,0.64,-2.24,0.425,1.557,0.811
