q1_left,q2_left,q3_left,q4_left,q5_left,q6_left,q7_left,q1_right,q2_right,q3_right,q4_right,q5_right,q6_right,q7_right
0.0,-0.785,0.0,-2.356,0.0,1.571,0.785,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.682,0.0,-2.298,0.0,1.586,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.577,0.0,-2.22,0.0,1.62,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.476,0.0,-2.147,0.0,1.642,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.375,0.0,-2.068,0.0,1.657,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.275,0.0,-1.962,0.0,1.665,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.168,0.0,-1.857,0.0,1.669,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.081,0.0,-1.753,0.0,1.669,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.07,0.01,-0.073,-1.651,0.0,1.666,0.774,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.172,0.091,-0.165,-1.555,0.002,1.66,0.75,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.174,0.006,-0.167,-1.662,0.003,1.659,0.745,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.175,-0.082,-0.168,-1.766,0.001,1.661,0.736,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.178,-0.187,-0.17,-1.86,-0.006,1.666,0.729,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.191,-0.28,-0.178,-1.963,-0.027,1.67,0.717,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.205,-0.381,-0.184,-2.044,-0.045,1.671,0.709,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.17,-0.459,-0.083,-2.116,-0.048,1.672,0.691,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.122,-0.495,0.019,-2.148,-0.017,1.67,0.687,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.121,-0.495,0.018,-2.151,-0.013,1.67,0.687,-0.0,-0.684,0.0,-2.302,0.0,1.583,0.785
-0.121,-0.496,0.017,-2.152,-0.01,1.669,0.686,-0.0,-0.583,0.0,-2.216,0.0,1.611,0.785
-0.121,-0.496,0.017,-2.154,-0.008,1.669,0.686,-0.0,-0.482,0.0,-2.157,0.0,1.64,0.785
-0.121,-0.496,0.016,-2.155,-0.006,1.668,0.686,-0.0,-0.373,0.0,-2.046,0.0,1.657,0.785
-0.12,-0.496,0.016,-2.156,-0.003,1.667,0.685,-0.0,-0.272,0.0,-1.956,0.0,1.668,0.785
-0.12,-0.496,0.016,-2.157,-0.002,1.667,0.685,-0.0,-0.167,0.0,-1.854,0.0,1.67,0.785
-0.12,-0.496,0.016,-2.157,-0.001,1.667,0.685,-0.0,-0.278,0.0,-1.961,0.0,1.671,0.785
-0.12,-0.497,0.015,-2.158,-0.0,1.666,0.685,-0.0,-0.379,0.0,-2.064,0.0,1.672,0.785
-0.12,-0.497,0.015,-2.158,0.0,1.666,0.685,-0.0,-0.485,0.0,-2.134,0.0,1.672,0.785
-0.12,-0.497,0.015,-2.159,0.003,1.665,0.684,-0.041,-0.554,-0.103,-2.21,-0.029,1.66,0.78
