q1_left,q2_left,q3_left,q4_left,q5_left,q6_left,q7_left,q1_right,q2_right,q3_right,q4_right,q5_right,q6_right,q7_right
-0.001,-0.785,0.0,-2.356,0.0,1.571,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.001,-0.785,0.0,-2.355,0.0,1.571,0.785,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.001,-0.782,0.0,-2.349,0.0,1.567,0.785,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.001,-0.775,0.0,-2.332,0.0,1.552,0.785,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.001,-0.763,0.0,-2.302,0.0,1.529,0.785,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.001,-0.748,-0.0,-2.263,0.0,1.504,0.785,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.001,-0.733,-0.0,-2.218,0.0,1.479,0.785,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.001,-0.72,-0.0,-2.173,0.0,1.459,0.785,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.001,-0.71,-0.0,-2.13,0.0,1.443,0.785,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.001,-0.704,-0.0,-2.091,0.0,1.428,0.785,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.001,-0.701,-0.0,-2.057,0.0,1.415,0.785,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.001,-0.703,-0.0,-2.036,0.0,1.409,0.785,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.001,-0.71,-0.0,-2.029,0.0,1.408,0.785,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.001,-0.717,-0.0,-2.029,0.0,1.407,0.785,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.001,-0.722,-0.0,-2.03,0.0,1.403,0.785,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.001,-0.724,-0.0,-2.032,0.0,1.398,0.785,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.001,-0.724,0.0,-2.035,0.0,1.395,0.785,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.001,-0.722,0.0,-2.039,0.0,1.393,0.785,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.001,-0.719,0.0,-2.044,0.0,1.392,0.785,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.001,-0.715,0.0,-2.047,0.0,1.391,0.785,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.001,-0.709,0.0,-2.05,-0.0,1.39,0.785,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.001,-0.703,0.0,-2.052,-0.0,1.389,0.785,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.001,-0.698,0.0,-2.053,-0.0,1.389,0.785,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.001,-0.693,0.0,-2.054,-0.0,1.389,0.785,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.001,-0.691,0.0,-2.055,-0.0,1.389,0.785,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.001,-0.689,0.0,-2.055,-0.0,1.389,0.785,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.001,-0.69,0.001,-2.056,0.0,1.388,0.785,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.001,-0.691,0.002,-2.056,0.0,1.388,0.785,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.001,-0.692,0.007,-2.056,0.0,1.388,0.785,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.001,-0.692,0.017,-2.056,0.001,1.388,0.785,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.001,-0.692,0.031,-2.056,0.004,1.388,0.786,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.001,-0.692,0.05,-2.056,0.013,1.388,0.786,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.001,-0.692,0.073,-2.056,0.025,1.388,0.786,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.001,-0.692,0.096,-2.056,0.036,1.388,0.786,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.001,-0.692,0.116,-2.056,0.045,1.388,0.786,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.002,-0.692,0.132,-2.056,0.052,1.388,0.786,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.004,-0.692,0.143,-2.056,0.057,1.388,0.786,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.009,-0.692,0.148,-2.056,0.06,1.387,0.786,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.016,-0.693,0.147,-2.056,0.061,1.387,0.787,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.025,-0.694,0.141,-2.056,0.061,1.387,0.787,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.034,-0.696,0.128,-2.056,0.061,1.387,0.787,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.042,-0.698,0.109,-2.056,0.061,1.387,0.787,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.049,-0.7,0.084,-2.056,0.06,1.387,0.786,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.054,-0.702,0.054,-2.056,0.056,1.387,0.786,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.055,-0.702,0.024,-2.056,0.045,1.387,0.786,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.055,-0.702,-0.007,-2.056,0.028,1.387,0.786,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.055,-0.702,-0.036,-2.056,0.009,1.387,0.786,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.055,-0.701,-0.064,-2.056,-0.011,1.387,0.786,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.051,-0.7,-0.091,-2.056,-0.029,1.386,0.786,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.042,-0.698,-0.118,-2.056,-0.046,1.386,0.785,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.027,-0.695,-0.145,-2.056,-0.063,1.386,0.785,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
-0.009,-0.692,-0.172,-2.055,-0.079,1.386,0.785,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
0.014,-0.688,-0.198,-2.052,-0.096,1.386,0.785,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
0.04,-0.682,-0.225,-2.047,-0.113,1.386,0.784,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
0.067,-0.677,-0.252,-2.04,-0.13,1.386,0.784,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
0.096,-0.672,-0.28,-2.032,-0.149,1.386,0.784,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
0.126,-0.668,-0.309,-2.023,-0.168,1.386,0.783,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
0.155,-0.665,-0.34,-2.015,-0.188,1.386,0.783,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
0.185,-0.664,-0.371,-2.007,-0.207,1.385,0.783,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
0.211,-0.665,-0.401,-2.0,-0.225,1.384,0.782,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
0.234,-0.669,-0.426,-1.997,-0.24,1.382,0.782,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
0.255,-0.675,-0.446,-1.997,-0.253,1.379,0.782,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
0.273,-0.684,-0.461,-1.997,-0.263,1.373,0.782,-0.0,-0.785,0.0,-2.355,0.0,1.571,0.785
