q1_left,q2_left,q3_left,q4_left,q5_left,q6_left,q7_left,q1_right,q2_right,q3_right,q4_right,q5_right,q6_right,q7_right
0.0,-0.785,0.0,-2.356,0.0,1.571,0.785,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.78,0.0,-2.353,0.0,1.571,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.774,0.0,-2.348,0.0,1.571,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.766,0.0,-2.344,0.0,1.571,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.76,0.0,-2.343,0.0,1.571,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.755,0.0,-2.343,0.0,1.571,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.751,0.0,-2.343,0.0,1.571,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.748,0.0,-2.343,0.0,1.571,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.746,0.0,-2.341,0.0,1.572,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.741,0.0,-2.336,0.0,1.572,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.734,0.0,-2.33,0.0,1.572,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.729,0.0,-2.325,0.0,1.572,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.725,0.0,-2.324,0.0,1.574,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.722,0.0,-2.324,0.0,1.574,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.721,0.0,-2.324,0.0,1.574,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.715,0.0,-2.319,0.0,1.574,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.708,0.0,-2.312,0.0,1.575,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.701,0.0,-2.306,0.0,1.578,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.695,0.0,-2.304,0.0,1.582,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.691,0.0,-2.304,0.0,1.585,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.689,0.0,-2.304,0.0,1.585,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.688,0.0,-2.304,0.0,1.586,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.687,0.0,-2.303,0.0,1.586,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.682,0.0,-2.298,0.0,1.586,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.675,0.0,-2.291,0.0,1.587,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.669,0.0,-2.286,0.0,1.589,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.664,0.0,-2.284,0.0,1.593,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.658,0.0,-2.281,0.0,1.595,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.648,0.0,-2.274,0.0,1.596,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.638,0.0,-2.267,0.0,1.598,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.626,0.0,-2.259,0.0,1.6,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.611,0.0,-2.248,0.0,1.603,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.599,0.0,-2.241,0.0,1.608,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.591,0.0,-2.239,0.0,1.614,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.586,0.0,-2.239,0.0,1.617,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.584,0.0,-2.239,0.0,1.617,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.587,0.0,-2.239,0.0,1.618,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.588,0.0,-2.239,0.0,1.618,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.59,0.0,-2.239,0.0,1.618,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.592,0.0,-2.239,0.0,1.618,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.594,0.0,-2.238,0.0,1.618,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.595,0.0,-2.238,0.0,1.618,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.591,0.0,-2.233,0.0,1.619,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.584,0.0,-2.226,0.0,1.619,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.577,0.0,-2.22,0.0,1.62,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.572,0.0,-2.217,0.0,1.622,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.568,0.0,-2.217,0.0,1.623,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.566,0.0,-2.217,0.0,1.624,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.564,0.0,-2.217,0.0,1.624,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.559,0.0,-2.211,0.0,1.624,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.552,0.0,-2.203,0.0,1.624,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.544,0.0,-2.196,0.0,1.625,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.533,0.0,-2.184,0.0,1.626,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.52,0.0,-2.172,0.0,1.628,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.509,0.0,-2.165,0.0,1.634,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.503,0.0,-2.164,0.0,1.64,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.498,0.0,-2.164,0.0,1.641,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.496,0.0,-2.164,0.0,1.642,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.493,0.0,-2.163,0.0,1.642,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.488,0.0,-2.158,0.0,1.642,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.483,0.0,-2.153,0.0,1.642,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.476,0.0,-2.147,0.0,1.642,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.464,0.0,-2.134,0.0,1.642,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.452,0.0,-2.122,0.0,1.643,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.443,0.0,-2.115,0.0,1.647,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.432,0.0,-2.106,0.0,1.648,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.422,0.0,-2.097,0.0,1.649,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.413,0.0,-2.092,0.0,1.651,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.401,0.0,-2.083,0.0,1.652,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.389,0.0,-2.073,0.0,1.652,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.38,0.0,-2.068,0.0,1.655,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.375,0.0,-2.068,0.0,1.657,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.372,0.0,-2.068,0.0,1.658,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.374,0.0,-2.068,0.0,1.658,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.375,0.0,-2.068,0.0,1.658,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.376,0.0,-2.068,0.0,1.658,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.378,0.0,-2.068,0.0,1.658,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
-0.0,-0.375,0.0,-2.061,0.0,1.658,0.785,-0.0,-0.785,0.0,-2.356,0.0,1.571,0.785
